Id,Name,Updated at,Completed?,Accessible,Bench,Curb cut,Lighting,Mounting,Mounting direction,Schedule holder,Shelter,Sidewalk,Sign,Trash,Bolt on base,Bus pull out exists?,Extend pole?,Has power?,New anchor?,New pole?,Solar lighting?,Straighten pole?,System map exists?,Mounting clearance after,Mounting clearance before,Created at,Updated at,Completed?,Completed at
4259,The Brook (In),2017-06-08 09:46:40 -0400,true,"","",No curb,Within 20',PVTA pole,"",On pole,"","More than 36""","","",false,false,false,false,false,false,false,false,false,"","","",2017-06-08 09:46:40 -0400,true,2017-06-08 09:46:40 -0400
4261,The Brook (Out),2017-06-08 09:46:52 -0400,true,"","",No curb,Within 20',PVTA pole,"",On pole,"",None,"","",false,false,false,false,false,false,false,false,false,"","","",2017-06-08 09:46:52 -0400,true,2017-06-08 09:46:52 -0400
4321,Townehouse Apts. (In),2017-03-22 15:17:20 -0400,true,When necessary,PVTA,No curb cut,Within 20',PVTA pole,Away from street,"",PVTA,"More than 36""",Flag stop,Other,false,true,false,false,true,true,false,false,false,84,"","",2017-03-22 15:17:20 -0400,true,2017-03-22 15:17:20 -0400
4323,Townehouse Apts. (Out),2017-03-22 15:17:29 -0400,true,When necessary,"",Within 20',None,PVTA pole,Away from street,"","","More than 36""",Flag stop,"",false,true,false,false,true,true,false,false,false,84,"","",2017-03-22 15:17:29 -0400,true,2017-03-22 15:17:29 -0400
4655,WFCR,2017-03-08 09:55:43 -0500,false,When necessary,"",Within 20',Within 20',PVTA pole,"",On pole,"","More than 36""",Needs attention,"",false,true,false,false,false,false,false,false,false,"",62,"",2017-03-08 09:55:43 -0500,false,""
113,Amherst Community Health Ctr (In),2017-03-10 14:35:00 -0500,false,When necessary,Other,Within 20',Within 20',PVTA pole,"",On pole,"","More than 36""",Needs attention,Municipal,false,false,false,false,false,true,false,false,false,84,"","",2017-03-10 14:35:00 -0500,false,""
115,Amherst Community Health Ctr (Out),2017-03-10 14:33:38 -0500,false,When necessary,"",Within 20',20' - 50',PVTA pole,Away from street,On pole,"","More than 36""",Flag stop,Municipal,true,false,false,false,false,true,false,false,false,84,"","",2017-03-10 14:33:38 -0500,false,""
125,Amherst Post Office,"",false,"",PVTA,Within 20',Within 20',Other pole,"",In shelter,PVTA,"More than 36""","",Municipal,"",false,false,false,false,false,false,false,false,"","","","",false,""
127,Amherst Survival Center (In),2017-08-01 10:43:48 -0400,true,When necessary,PVTA,No curb,20' - 50',Other pole,Away from street,On pole,PVTA,"More than 36""",Flag stop,Other,false,false,false,false,false,false,false,false,false,"",77,"",2017-08-01 10:43:48 -0400,true,2017-08-01 10:43:48 -0400
133,Amity Place (In),"",false,"","",No curb cut,Within 20',PVTA pole,Away from street,On pole,"","More than 36""",Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","","",false,""
135,Amity Place (Out),"",false,When necessary,"",No curb cut,Within 20',PVTA pole,Away from street,"","","More than 36""",Flag stop,Municipal,false,false,false,false,true,true,false,false,false,84,"","","",false,""
161,Arnold House,2017-03-08 07:40:33 -0500,false,"",Other,Within 20',Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""",Missing sign,Other,false,true,false,false,false,false,false,false,false,"","","",2017-03-08 07:40:33 -0500,false,""
441,Big Y - Amherst,"",false,"",Other,"",Within 20',"","","",Building,"More than 36""",Missing sign,Other,"",false,false,false,false,false,false,false,false,"","","","",false,""
551,Boyden (N),2017-08-01 10:43:07 -0400,true,When necessary,"",No curb cut,20' - 50',PVTA pole,Away from street,"","","More than 36""",Flag stop,"",false,false,false,false,false,false,false,false,false,"",64,"",2017-08-01 10:43:07 -0400,true,2017-08-01 10:43:07 -0400
